	study_id	broad_weight	males_weight	females_weight	broad_freq	male_freq	female_freq	weighted/unweighted
1. 1	mrsc_mrsc	2310	2310	0				unweighted
1. 1	mrsc_cvc	182	174	8				unweighted
1. 2	onga_onga	212	162	50				unweighted
1. 5	nhs2_nhs2	1320	0	1320				unweighted
1. 7	fscd_fscd	532	267	265				unweighted
1. 8	coga_coga	990	336	654				unweighted
1. 9	cogb_cogb	822	363	459				unweighted
"1. 11,12"	minv_minv	214	205	9				unweighted
1. 13	nhrv_gfk	532	483	49				unweighted
1. 13	nhrv_vakn	1662	1511	151				unweighted
1. 14	nss1_nss1	4850	4176	674				unweighted
1. 15	nss2_nss2	1858	1536	322				unweighted
1. 16	nss1_ppds	4834	4641	193				unweighted
1. 21	psy2_guts	516	137	379				unweighted
1. 22	psy2_nhsy	5263	0	5263				unweighted
1. 25	pris_pris	820	743	77				unweighted
1. 33	ring_ring	180	180	0				unweighted
1. 36	psy3_bry2	117	53	64				unweighted
1. 40	psy3_niut	89	0	89				unweighted
1. 41	psy3_ncmh	1137	421	716				unweighted
1. 42	psy3_eacr	298	88	210				unweighted
1. 43	meg2_wach	112	0	112				unweighted
1. 47	gtpc_gtpc	183	68	115				unweighted
1. 50	comc_comc	164	154	10				unweighted
1. 52	ftca_ftcb	1039	992	47				unweighted
1. 54	grac_grac	169	0	169				unweighted
1. 55	gali_gali	207	207	0				unweighted
1. 73	auro_auro	229	80	149				unweighted
1. 87	ongb_ongb	418	369	49				unweighted
2. 6	gsdc_gsdc	866	355	476				weighted
2. 10	brya_brya	302	147	152				weighted
"2. 17-21,61"	pts1_pts1	538	266	267				weighted
2. 35	stro_stro	1098	1025	72				weighted
2. 37-39	psy3_feen	428	164	263				weighted
2. 48	betr_betr	99	97	1				weighted
2. 49	psy4_psy4	630	426	204				weighted
2. 56-59	wrby_wrby	417	399	9				weighted
"2. 64,68,70,71"	psy5_psy5	482	343	137				weighted
2A. 24	VETS	1088	1088	0				weighted
2A. 60	UKBB	135801	59552	76251				weighted
3. 26	MIRE	823	686	136	FRQ_U_405	FRQ_U_343	FRQ_U_62	weighted
3. 27	INTR	187	122	31	FRQ_U_116	FRQ_U_55	NA	weighted
3. 28	DAMI	1504	1343	142	FRQ_U_2019	FRQ_U_1919	FRQ_U_100	weighted
3. 30	QIMR	1101	365	711	FRQ_U_1797	FRQ_U_934	FRQ_U_863	weighted
3. 31	NCPT	420	242	162	FRQ_U_162	FRQ_U_84	FRQ_U_78	weighted
3. 32	TRAC	147	143	17	FRQ_U_49	FRQ_U_49		weighted
3. 75	WTCS	1458	1366	92				weighted
3. 86	AGDS	10687	2490	8197				weighted
3. 92	CANA	3070	NA	NA				weighted
3. 93	QIM2	758	194	563				weighted
3. 94	RCOG	1777	NA	NA				weighted
3. 96	WTCM	177	NA	NA				weighted
4. 74	DAI2	55804	23106	31576	FRQ_U_36548	FRQ_U_18793	FRQ_U_17748	weighted
4. 79	BIOV	24266	8436	15730				weighted
4. 81	MGBB	16112	6729	9315				weighted
4. 85	HUNT	11938	NA	NA				weighted
4. 89	SWED	1264	NA	NA				weighted
4. 90	FING	37725	11712	25915				weighted
4. 91	UKB2	36540	12424	23901				weighted
4. 95	BIOM	1230	2038	4947				weighted
4. 98	ESBB	71021	16714	53822				weighted
4. 99	MAYO	3791	1399	2330				weighted
5	MVP	186689	NA	NA				weighted
